Natural Gas Total Consumption,Plant Fuel Consumption,Pipeline & Distribution Use,Residential Consumers,Commercial Consumers,Industrial Consumer,Vehicle Fuel Consumption,Electric Power Consumers
519363,104965,0,243121,171277,0,0,0
901371,103868,0,502981,294522,0,0,0
1253141,106254,0,737722,409165,0,0,0
1479951,102977,0,902399,473868,0,707,0
1271095,93301,0,757457,419698,0,639,0
1069751,103593,0,605856,359595,0,707,0
801403,98734,0,433073,268912,0,684,0
590636,102506,0,283739,203684,0,707,0
415455,97083,0,163591,154097,0,684,0
373403,100851,0,127805,144040,0,707,0
358953,100660,0,117900,139686,0,707,0
370150,98348,0,129388,141730,0,684,0
526196,101652,0,234223,189614,0,707,0
902030,98467,0,497310,305569,0,684,0
1246427,100271,0,731030,414419,0,707,0
1365855,102264,0,812108,450690,0,793,0
1176134,91025,0,691819,392573,0,717,0
1116907,101614,0,647619,366881,0,793,0
762463,98122,0,407752,255821,0,768,0
493017,101749,0,220830,169645,0,793,0
388697,97533,0,152708,137688,0,768,0
374832,99336,0,132390,142313,0,793,0
361949,100027,0,116631,144498,0,793,0
352727,90805,0,121417,139737,0,768,0
475153,97983,0,202996,173381,0,793,0
757966,94934,0,398094,264170,0,768,0
1076139,97338,0,615913,362095,0,793,0
1481250,93156,0,911162,475945,0,987,0
1174759,83973,0,689687,400207,0,892,0
1152127,92958,0,669270,388912,0,987,0
769388,88809,0,420192,259432,0,955,0
502461,90478,0,234764,176232,0,987,0
391213,88321,0,158235,143702,0,955,0
350638,90886,0,126561,132204,0,987,0
344920,90693,0,116231,137009,0,987,0
360963,87781,0,134861,137366,0,955,0
505968,90965,0,233508,180508,0,987,0
707126,89424,0,371595,245152,0,955,0
1120501,91919,0,659606,367989,0,987,0
1413214,97358,0,862900,451876,0,1080,0
1286675,89676,0,775235,420754,0,1010,0
997146,98137,0,550261,347668,0,1080,0
750111,92790,0,400886,255390,0,1045,0
506578,96400,0,228439,180659,0,1080,0
396458,94095,0,154183,147135,0,1045,0
363552,97199,0,128363,136910,0,1080,0
371710,97934,0,122408,150288,0,1080,0
385191,94771,0,140766,148609,0,1045,0
517623,99714,0,235799,181030,0,1080,0
868532,94863,0,482600,290024,0,1045,0
1485462,97918,0,914339,472125,0,1080,0
2676999,95602,76386,976677,500267,686540,1235,340292
2309464,86821,65770,780482,422407,640026,1115,312843
2246632,96438,63626,681884,375688,664918,1235,362843
1807170,92602,50736,400728,255361,622054,1195,384494
1522382,94981,42238,209327,164146,576532,1235,433923
1444379,91218,40041,146837,135449,536820,1195,492819
1598072,93635,44518,123777,130415,570067,1235,634425
1669180,94087,46609,116934,133687,589875,1235,686753
1494128,91760,41497,127482,143342,578590,1195,510262
1649074,95679,45967,237466,185356,617291,1235,466080
1700950,91351,47630,360721,230554,618950,1195,350549
2120197,94379,59946,609025,346038,642556,1235,367018
2487638,95508,72857,815227,435234,686108,1270,381434
2242426,86015,65626,712863,399911,632621,1147,344243
2258431,95646,65870,660430,372845,655854,1270,406516
1880985,91995,54441,415196,267206,646534,1229,404384
1611453,94802,46147,255083,192070,611973,1270,410108
1591374,91805,45601,159973,146151,595674,1229,550941
1748435,95227,50359,125065,136841,605786,1270,733887
1725712,93998,49635,115678,135717,611822,1270,717592
1542170,89315,44256,123904,141457,573310,1229,568699
1645874,91673,47265,250573,199288,613448,1270,442357
1913631,91840,55394,483192,298091,632273,1229,351612
2378895,95259,69469,771634,419358,661782,1270,360123
2700545,94993,72816,945975,514945,687821,1552,382443
2500315,86364,67462,884238,482485,643666,1402,334698
2197936,97721,58692,674582,388190,615956,1552,361243
1743531,93569,46108,414495,261069,574624,1502,352164
1514697,95542,39657,247693,179065,557167,1552,394021
1368368,92521,35652,157454,134302,511339,1502,435598
1600484,93673,42107,126624,131884,574374,1552,630270
1651580,95576,43482,115852,130829,580776,1552,683513
1428554,92079,37347,128621,136088,564407,1502,468510
1553190,95213,40742,231558,176727,598581,1552,408817
