,Natural Gas,Crude Oil,Europe Brent,NY Gasoline,USGC Gasoline,Heating Oil,CARB Diesel,Kerosene,Propane,Date
0,3.45,25.13,23.54,0.674,0.67,0.698,0.773,0.68,0.474,1997-01-01
1,2.15,22.18,20.85,0.624,0.62,0.611,0.789,0.619,0.386,1997-02-01
2,1.89,20.97,19.13,0.613,0.614,0.547,0.751,0.557,0.385,1997-03-01
3,2.03,19.7,17.56,0.587,0.585,0.577,0.731,0.541,0.349,1997-04-01
4,2.25,20.82,19.02,0.621,0.608,0.563,0.623,0.549,0.353,1997-05-01
5,2.2,19.26,17.58,0.551,0.552,0.522,0.589,0.523,0.344,1997-06-01
6,2.19,19.66,18.46,0.587,0.591,0.53,0.571,0.536,0.348,1997-07-01
7,2.49,19.95,18.6,0.705,0.646,0.54,0.679,0.559,0.369,1997-08-01
8,2.88,19.8,18.46,0.623,0.562,0.532,0.645,0.541,0.387,1997-09-01
9,3.07,21.33,19.87,0.584,0.549,0.572,0.685,0.571,0.398,1997-10-01
10,3.01,20.19,19.17,0.557,0.528,0.564,0.703,0.549,0.36,1997-11-01
11,2.35,18.33,17.18,0.518,0.498,0.511,0.601,0.496,0.336,1997-12-01
12,2.09,16.72,15.19,0.478,0.46,0.466,0.566,0.476,0.302,1998-01-01
13,2.23,16.06,14.07,0.449,0.449,0.443,0.497,0.449,0.298,1998-02-01
14,2.24,15.12,13.1,0.447,0.428,0.421,0.479,0.413,0.275,1998-03-01
15,2.43,15.35,13.53,0.47,0.465,0.43,0.552,0.426,0.291,1998-04-01
16,2.14,14.91,14.36,0.482,0.48,0.411,0.518,0.416,0.274,1998-05-01
17,2.17,13.72,12.21,0.439,0.437,0.378,0.469,0.389,0.245,1998-06-01
18,2.17,14.17,12.08,0.423,0.417,0.362,0.47,0.386,0.246,1998-07-01
19,1.85,13.47,11.91,0.403,0.375,0.345,0.463,0.372,0.241,1998-08-01
20,2.02,15.03,13.34,0.429,0.403,0.403,0.482,0.42,0.249,1998-09-01
21,1.91,14.46,12.7,0.435,0.414,0.385,0.478,0.42,0.257,1998-10-01
22,2.12,13.0,11.04,0.372,0.337,0.359,0.466,0.371,0.248,1998-11-01
23,1.72,11.35,9.82,0.307,0.294,0.313,0.391,0.304,0.209,1998-12-01
24,1.85,12.52,11.11,0.343,0.324,0.335,0.417,0.334,0.217,1999-01-01
25,1.77,12.01,10.27,0.317,0.302,0.304,0.391,0.309,0.224,1999-02-01
26,1.79,14.68,12.51,0.423,0.418,0.388,0.601,0.378,0.242,1999-03-01
27,2.15,17.31,15.29,0.501,0.498,0.431,0.588,0.43,0.282,1999-04-01
28,2.26,17.72,15.23,0.492,0.483,0.423,0.541,0.415,0.283,1999-05-01
29,2.3,17.92,15.86,0.489,0.486,0.433,0.675,0.44,0.309,1999-06-01
30,2.31,20.1,19.08,0.583,0.569,0.5,0.693,0.512,0.372,1999-07-01
31,2.8,21.28,20.22,0.639,0.607,0.548,0.713,0.564,0.406,1999-08-01
32,2.55,23.8,22.54,0.688,0.643,0.602,0.68,0.614,0.432,1999-09-01
33,2.73,22.69,22.0,0.627,0.592,0.584,0.708,0.595,0.454,1999-10-01
