date,date
02-08-2022,9.758
03-08-2022,9.758
04-08-2022,9.758
05-08-2022,9.758
06-08-2022,8.24
07-08-2022,8.754
08-08-2022,8.952
09-08-2022,8.952
10-08-2022,8.952
11-08-2022,8.952
12-08-2022,9.104
13-08-2022,9.112
14-08-2022,8.926
15-08-2022,8.504
16-08-2022,8.504
17-08-2022,8.504
18-08-2022,8.428
19-08-2022,8.352
20-08-2022,8.428
21-08-2022,8.522
22-08-2022,8.572
23-08-2022,8.572
24-08-2022,8.572
25-08-2022,8.532
26-08-2022,8.436
27-08-2022,8.302
28-08-2022,8.152
29-08-2022,7.982
30-08-2022,7.982
31-08-2022,7.982
01-09-2022,7.862
02-09-2022,7.798
03-09-2022,7.748
04-09-2022,7.698
05-09-2022,7.664
06-09-2022,7.664
07-09-2022,7.664
08-09-2022,7.622
09-09-2022,7.572
10-09-2022,7.538
11-09-2022,7.54
12-09-2022,7.554
13-09-2022,7.554
14-09-2022,7.554
15-09-2022,7.554
16-09-2022,7.578
17-09-2022,7.596
18-09-2022,7.618
19-09-2022,7.614
20-09-2022,7.614
21-09-2022,7.614
22-09-2022,7.616
23-09-2022,7.62
24-09-2022,7.638
25-09-2022,7.658
26-09-2022,7.68
27-09-2022,7.68
28-09-2022,7.68
29-09-2022,7.708
30-09-2022,7.734
01-10-2022,7.742
02-10-2022,7.758
03-10-2022,7.77
04-10-2022,7.77
05-10-2022,7.77
06-10-2022,7.748
07-10-2022,7.728
08-10-2022,7.71
09-10-2022,7.678
10-10-2022,7.668
11-10-2022,7.668
12-10-2022,7.668
13-10-2022,7.678
14-10-2022,7.662
15-10-2022,7.654
16-10-2022,7.656
17-10-2022,7.634
18-10-2022,7.634
19-10-2022,7.634
20-10-2022,7.614
21-10-2022,7.652
22-10-2022,7.686
23-10-2022,7.71
24-10-2022,7.71
25-10-2022,7.71
26-10-2022,7.71
27-10-2022,7.752
28-10-2022,7.786
29-10-2022,7.786
30-10-2022,7.792
31-10-2022,7.798
01-11-2022,7.798
02-11-2022,7.798
03-11-2022,7.784
04-11-2022,7.774
05-11-2022,7.776
06-11-2022,7.796
07-11-2022,7.808
08-11-2022,7.808
09-11-2022,7.808
10-11-2022,7.83
11-11-2022,7.838
12-11-2022,7.83
13-11-2022,7.81
14-11-2022,7.8
