Date,U.S. Total Natural Gas Underground Storage Capacity (MMcf),U.S. Natural Gas Underground Storage Volume (MMcf),U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),U.S. Total Natural Gas in Underground Storage (Working Gas) (MMcf),U.S. Total Natural Gas Injections into Underground Storage (MMcf),U.S. Natural  Gas Underground Storage Withdrawals (MMcf),U.S. Natural Gas Underground Storage Net Withdrawals (MMcf)
Jan-1973,,,,,,,
Feb-1973,,,,,,,
Mar-1973,,,,,,,
Apr-1973,,,,,,,
May-1973,,,,,,,
Jun-1973,,,,,,,
Jul-1973,,,,,,,
Aug-1973,,,,,,,
Sep-1973,,,,,,,
Oct-1973,,,,,,,
Nov-1973,,,,,,,
Dec-1973,,4898000,2864000,2034000,,,
Jan-1974,,,,,,,
Feb-1974,,,,,,,
Mar-1974,,,,,,,
Apr-1974,,,,,,,
May-1974,,,,,,,
Jun-1974,,,,,,,
Jul-1974,,,,,,,
Aug-1974,,,,,,,
Sep-1974,,,,,,,
Oct-1974,,5445000,3042000,2403000,,,
Nov-1974,,,,,,,
Dec-1974,,4962000,2912000,2050000,,,
Jan-1975,,,,,,,
Feb-1975,,,,,,,
Mar-1975,,,,,,,
Apr-1975,,,,,,,
May-1975,,,,,,,
Jun-1975,,,,,,,
Jul-1975,,,,,,,
Aug-1975,,,,,,,
Sep-1975,,5553000,3085000,2468000,220000,31000,-189000
Oct-1975,,5706000,3107000,2599000,190000,51000,-139000
Nov-1975,,5691000,3150000,2541000,98000,146000,48000
Dec-1975,,5374000,3162000,2212000,38000,371000,333000
Jan-1976,,4817000,3169000,1648000,15000,487000,472000
Feb-1976,,4617000,3173000,1444000,59000,245000,186000
Mar-1976,,4496000,3170000,1326000,71000,185000,114000
Apr-1976,,4607000,3184000,1423000,166000,69000,-97000
May-1976,,4827000,3190000,1637000,220000,22000,-198000
Jun-1976,,5116000,3208000,1908000,273000,25000,-248000
Jul-1976,,5412000,3220000,2192000,271000,6000,-265000
Aug-1976,,5698000,3251000,2447000,268000,16000,-252000
