,Date,Spot_price
0,Jan-1997,3.45
1,Feb-1997,2.15
2,Mar-1997,1.89
3,Apr-1997,2.03
4,May-1997,2.25
5,Jun-1997,2.2
6,Jul-1997,2.19
7,Aug-1997,2.49
8,Sep-1997,2.88
9,Oct-1997,3.07
10,Nov-1997,3.01
11,Dec-1997,2.35
12,Jan-1998,2.09
13,Feb-1998,2.23
14,Mar-1998,2.24
15,Apr-1998,2.43
16,May-1998,2.14
17,Jun-1998,2.17
18,Jul-1998,2.17
19,Aug-1998,1.85
20,Sep-1998,2.02
21,Oct-1998,1.91
22,Nov-1998,2.12
23,Dec-1998,1.72
24,Jan-1999,1.85
25,Feb-1999,1.77
26,Mar-1999,1.79
27,Apr-1999,2.15
28,May-1999,2.26
29,Jun-1999,2.3
30,Jul-1999,2.31
31,Aug-1999,2.8
32,Sep-1999,2.55
33,Oct-1999,2.73
34,Nov-1999,2.37
35,Dec-1999,2.36
36,Jan-2000,2.42
37,Feb-2000,2.66
38,Mar-2000,2.79
39,Apr-2000,3.04
40,May-2000,3.59
41,Jun-2000,4.29
42,Jul-2000,3.99
43,Aug-2000,4.43
44,Sep-2000,5.06
45,Oct-2000,5.02
46,Nov-2000,5.52
47,Dec-2000,8.9
48,Jan-2001,8.17
49,Feb-2001,5.61
50,Mar-2001,5.23
51,Apr-2001,5.19
52,May-2001,4.19
53,Jun-2001,3.72
54,Jul-2001,3.11
55,Aug-2001,2.97
56,Sep-2001,2.19
57,Oct-2001,2.46
58,Nov-2001,2.34
59,Dec-2001,2.3
60,Jan-2002,2.32
61,Feb-2002,2.32
62,Mar-2002,3.03
63,Apr-2002,3.43
64,May-2002,3.5
65,Jun-2002,3.26
66,Jul-2002,2.99
67,Aug-2002,3.09
68,Sep-2002,3.55
69,Oct-2002,4.13
70,Nov-2002,4.04
71,Dec-2002,4.74
72,Jan-2003,5.43
73,Feb-2003,7.71
74,Mar-2003,5.93
75,Apr-2003,5.26
76,May-2003,5.81
77,Jun-2003,5.82
78,Jul-2003,5.03
79,Aug-2003,4.99
80,Sep-2003,4.62
81,Oct-2003,4.63
82,Nov-2003,4.47
83,Dec-2003,6.13
84,Jan-2004,6.14
85,Feb-2004,5.37
86,Mar-2004,5.39
87,Apr-2004,5.71
88,May-2004,6.33
89,Jun-2004,6.27
90,Jul-2004,5.93
91,Aug-2004,5.41
92,Sep-2004,5.15
93,Oct-2004,6.35
94,Nov-2004,6.17
95,Dec-2004,6.58
96,Jan-2005,6.15
97,Feb-2005,6.14
98,Mar-2005,6.96
99,Apr-2005,7.16
100,May-2005,6.47
101,Jun-2005,7.18
102,Jul-2005,7.63
103,Aug-2005,9.53
104,Sep-2005,11.75
105,Oct-2005,13.42
106,Nov-2005,10.3
107,Dec-2005,13.05
108,Jan-2006,8.69
109,Feb-2006,7.54
110,Mar-2006,6.89
111,Apr-2006,7.16
112,May-2006,6.25
113,Jun-2006,6.21
114,Jul-2006,6.17
115,Aug-2006,7.14
116,Sep-2006,4.9
117,Oct-2006,5.85
118,Nov-2006,7.41
119,Dec-2006,6.73
120,Jan-2007,6.55
121,Feb-2007,8.0
122,Mar-2007,7.11
123,Apr-2007,7.6
124,May-2007,7.64
125,Jun-2007,7.35
126,Jul-2007,6.22
127,Aug-2007,6.22
128,Sep-2007,6.08
129,Oct-2007,6.74
130,Nov-2007,7.1
131,Dec-2007,7.11
132,Jan-2008,7.99
133,Feb-2008,8.54
134,Mar-2008,9.41
135,Apr-2008,10.18
136,May-2008,11.27
137,Jun-2008,12.69
138,Jul-2008,11.09
139,Aug-2008,8.26
140,Sep-2008,7.67
141,Oct-2008,6.74
142,Nov-2008,6.68
143,Dec-2008,5.82
144,Jan-2009,5.24
145,Feb-2009,4.52
146,Mar-2009,3.96
147,Apr-2009,3.5
148,May-2009,3.83
149,Jun-2009,3.8
150,Jul-2009,3.38
151,Aug-2009,3.14
152,Sep-2009,2.99
153,Oct-2009,4.01
154,Nov-2009,3.66
155,Dec-2009,5.35
156,Jan-2010,5.83
157,Feb-2010,5.32
158,Mar-2010,4.29
159,Apr-2010,4.03
160,May-2010,4.14
161,Jun-2010,4.8
162,Jul-2010,4.63
163,Aug-2010,4.32
164,Sep-2010,3.89
165,Oct-2010,3.43
166,Nov-2010,3.71
167,Dec-2010,4.25
168,Jan-2011,4.49
169,Feb-2011,4.09
170,Mar-2011,3.97
171,Apr-2011,4.24
172,May-2011,4.31
173,Jun-2011,4.54
174,Jul-2011,4.42
175,Aug-2011,4.06
176,Sep-2011,3.9
177,Oct-2011,3.57
178,Nov-2011,3.24
179,Dec-2011,3.17
180,Jan-2012,2.67
181,Feb-2012,2.51
182,Mar-2012,2.17
183,Apr-2012,1.95
184,May-2012,2.43
185,Jun-2012,2.46
186,Jul-2012,2.95
187,Aug-2012,2.84
188,Sep-2012,2.85
189,Oct-2012,3.32
190,Nov-2012,3.54
191,Dec-2012,3.34
192,Jan-2013,3.33
193,Feb-2013,3.33
194,Mar-2013,3.81
195,Apr-2013,4.17
196,May-2013,4.04
197,Jun-2013,3.83
198,Jul-2013,3.62
199,Aug-2013,3.43
200,Sep-2013,3.62
201,Oct-2013,3.68
202,Nov-2013,3.64
203,Dec-2013,4.24
204,Jan-2014,4.71
205,Feb-2014,6.0
206,Mar-2014,4.9
207,Apr-2014,4.66
208,May-2014,4.58
209,Jun-2014,4.59
210,Jul-2014,4.05
211,Aug-2014,3.91
212,Sep-2014,3.92
213,Oct-2014,3.78
214,Nov-2014,4.12
215,Dec-2014,3.48
216,Jan-2015,2.99
217,Feb-2015,2.87
218,Mar-2015,2.83
219,Apr-2015,2.61
220,May-2015,2.85
221,Jun-2015,2.78
222,Jul-2015,2.84
223,Aug-2015,2.77
224,Sep-2015,2.66
225,Oct-2015,2.34
